Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
4.0,BTCxWGG,51,14,1,2,7,2,6,16,0,Lobby 2,Semifinals,2.0,4.0,5.0,1.0,Split_1,APAC_South
5.0,Multicultural,41,4,4,10,1,3,5,2,3,Lobby 2,Semifinals,17.0,0.0,6.0,2.0,Split_1,APAC_South
6.0,Job Seekers,39,13,3,1,11,7,2,5,3,Lobby 2,Semifinals,18.0,0.0,17.0,0.0,Split_1,APAC_South
7.0,AU Skyrise,36,18,3,17,1,4,12,9,2,Lobby 2,Semifinals,4.0,2.0,13.0,3.0,Split_1,APAC_South
8.0,Systematic,34,8,2,7,3,13,0,8,8,Lobby 2,Semifinals,8.0,9.0,10.0,0.0,Split_1,APAC_South
9.0,Hardstucks,32,5,5,11,0,16,0,10,0,Lobby 2,Semifinals,7.0,10.0,14.0,6.0,Split_1,APAC_South
10.0,OGL,26,9,5,13,1,8,0,6,3,Lobby 2,Semifinals,3.0,0.0,8.0,0.0,Split_1,APAC_South
11.0,EVOLUTION BLACK,25,3,6,19,0,10,4,12,0,Lobby 2,Semifinals,12.0,0.0,12.0,3.0,Split_1,APAC_South
12.0,Speed,21,2,5,4,0,15,0,15,0,Lobby 2,Semifinals,16.0,0.0,16.0,0.0,Split_1,APAC_South
13.0,September,18,11,2,9,0,14,0,18,0,Lobby 2,Semifinals,9.0,7.0,7.0,0.0,Split_1,APAC_South
14.0,SkarptSinne,17,15,0,8,2,18,0,13,0,Lobby 2,Semifinals,13.0,1.0,4.0,4.0,Split_1,APAC_South
15.0,LVTHN,17,12,1,3,3,17,0,11,0,Lobby 2,Semifinals,6.0,0.0,15.0,0.0,Split_1,APAC_South
16.0,Teriyaki Boyz,16,20,0,12,0,11,1,3,4,Lobby 2,Semifinals,14.0,0.0,11.0,0.0,Split_1,APAC_South
17.0,ALZ,14,7,0,14,0,6,0,14,0,Lobby 2,Semifinals,5.0,2.0,20.0,0.0,Split_1,APAC_South
18.0,FLRV,8,19,0,18,0,12,0,17,1,Lobby 2,Semifinals,10.0,0.0,9.0,2.0,Split_1,APAC_South
19.0,C10H15N,1,17,0,16,1,20,0,20,0,Lobby 2,Semifinals,20.0,0.0,20.0,0.0,Split_1,APAC_South
20.0,Masters Please,0,16,0,20,0,20,0,20,0,Lobby 2,Semifinals,20.0,0.0,20.0,0.0,Split_1,APAC_South
1.0,DREAM,68,18,3,1,12,4,5,9,1,Lobby 1,Finals,11.0,1.0,2.0,17.0,Split_1,APAC_South
2.0,EMM,57,5,4,9,3,2,14,5,6,Lobby 1,Finals,7.0,4.0,16.0,4.0,Split_1,APAC_South
3.0,Antiaa,50,13,2,12,4,1,12,10,2,Lobby 1,Finals,13.0,3.0,4.0,5.0,Split_1,APAC_South
4.0,IFPD,47,15,2,4,8,20,0,18,2,Lobby 1,Finals,4.0,11.0,3.0,6.0,Split_1,APAC_South
5.0,BOG,47,2,7,18,0,3,1,1,10,Lobby 1,Finals,19.0,0.0,12.0,0.0,Split_1,APAC_South
6.0,END,45,1,8,17,0,17,1,4,1,Lobby 1,Finals,3.0,6.0,10.0,3.0,Split_1,APAC_South
7.0,OC,43,3,8,2,8,14,1,8,5,Lobby 1,Finals,15.0,0.0,13.0,0.0,Split_1,APAC_South
8.0,LH,42,11,9,3,8,10,5,6,1,Lobby 1,Finals,10.0,0.0,7.0,1.0,Split_1,APAC_South
9.0,Job Seekers,40,10,1,6,3,13,0,17,3,Lobby 1,Finals,1.0,9.0,8.0,4.0,Split_1,APAC_South
10.0,Multicultural,32,17,0,14,0,5,9,2,2,Lobby 1,Finals,12.0,2.0,15.0,3.0,Split_1,APAC_South
11.0,Systematic,32,20,0,5,3,7,1,14,0,Lobby 1,Finals,14.0,0.0,1.0,7.0,Split_1,APAC_South
12.0,4ChineseHorseman,31,12,3,7,2,19,0,3,6,Lobby 1,Finals,8.0,7.0,19.0,0.0,Split_1,APAC_South
13.0,R.Harmony,29,4,3,13,5,16,3,15,3,Lobby 1,Finals,5.0,4.0,18.0,0.0,Split_1,APAC_South
14.0,CKB,26,9,1,20,0,11,0,7,6,Lobby 1,Finals,9.0,3.0,5.0,4.0,Split_1,APAC_South
15.0,DESI,21,6,0,8,0,6,0,11,4,Lobby 1,Finals,6.0,2.0,6.0,0.0,Split_1,APAC_South
16.0,OGL,20,19,0,10,1,8,0,12,0,Lobby 1,Finals,2.0,3.0,9.0,0.0,Split_1,APAC_South
17.0,AU Skyrise,19,14,2,16,0,9,6,13,4,Lobby 1,Finals,16.0,0.0,11.0,2.0,Split_1,APAC_South
18.0,RNG,6,7,0,15,0,18,0,16,0,Lobby 1,Finals,18.0,0.0,17.0,2.0,Split_1,APAC_South
19.0,Hardstucks,5,8,2,19,0,12,0,19,0,Lobby 1,Finals,20.0,0.0,20.0,0.0,Split_1,APAC_South
20.0,BTCxWGG,4,16,0,11,0,15,1,20,0,Lobby 1,Finals,17.0,0.0,14.0,0.0,Split_1,APAC_South
1.0,Job Seekers,58,29,66,112,1313,37,22,73,66,Lobby 1,Round_1,,,,,Split_1,APAC_South
2.0,IFPD,56,112,1111,73,22,54,11,112,1111,Lobby 1,Round_1,,,,,Split_1,APAC_South
