C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
,MDY.W,30,12,5,15,0,6,3,4,5,10,3,14,1,Round 6,,9.0,,,,Split_1
,PK,27,11,0,7,0,7,1,6,2,4,4,6,2,Round 6,,10.0,,,,Split_1
,WHIZ,24,6,1,5,2,15,0,9,2,9,4,8,1,Round 6,,11.0,,,,Split_1
,WAT,24,8,3,12,2,12,0,3,3,11,0,7,1,Round 6,,12.0,,,,Split_1
,DREAM,17,16,0,10,0,10,0,12,0,13,0,5,7,Round 6,,13.0,,,,Split_1
,MYTH,16,9,3,16,0,9,4,13,3,16,0,12,0,Round 6,,14.0,,,,Split_1
,SLAY,15,5,1,14,0,8,1,8,0,15,2,15,0,Round 6,,15.0,,,,Split_1
,DESI,13,14,0,13,1,4,1,14,0,12,2,16,0,Round 6,,16.0,,,,Split_1
,GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,,17.0,,,,Split_1
,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,,18.0,,,,Split_1
,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,,19.0,,,,Split_1
,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,,20.0,,,,Split_1
,RIG,98,3,8,1,17,1,12,6,12,4,7,12,2,Round 7,,,1.0,,,Split_1
,BRGR,85,1,6,9,0,2,13,1,11,10,4,3,7,Round 7,,,2.0,,,Split_1
,ITR,64,7,6,16,3,3,7,5,3,6,3,1,13,Round 7,,,3.0,,,Split_1
,FA,42,14,2,4,5,12,0,10,3,2,6,6,5,Round 7,,,4.0,,,Split_1
,DNZ,41,18,0,18,0,8,6,15,0,1,15,11,4,Round 7,,,5.0,,,Split_1
,ANT,34,5,7,2,8,18,1,8,2,12,0,16,0,Round 7,,,6.0,,,Split_1
,EMM,34,4,3,15,0,13,3,13,0,11,0,2,10,Round 7,,,7.0,,,Split_1
,WAT,34,12,0,5,4,11,1,2,7,9,1,7,1,Round 7,,,8.0,,,Split_1
,MDY.W,29,15,3,13,0,7,1,7,3,3,7,17,0,Round 7,,,9.0,,,Split_1
