Standings,Team.1,Total,Lobby,Round
8.0,ForcesGG,15,Lobby 26,Round_1
9.0,UnderWorldGaming,13,Lobby 26,Round_1
10.0,RLP,12,Lobby 26,Round_1
11.0,Akedos Gaming,11,Lobby 26,Round_1
12.0,Fuego,10,Lobby 26,Round_1
13.0,Night Raid,9,Lobby 26,Round_1
14.0,Pride Stark,8,Lobby 26,Round_1
1.0,Dark Matter,93,Lobby 27,Round_1
2.0,TAT,38,Lobby 27,Round_1
3.0,Wonderboys,33,Lobby 27,Round_1
4.0,Blockbuster,28,Lobby 27,Round_1
5.0,Movement Temple,28,Lobby 27,Round_1
6.0,Miso Hate Club,26,Lobby 27,Round_1
7.0,Buds and Beer,23,Lobby 27,Round_1
8.0,Iron Giant,17,Lobby 27,Round_1
9.0,Evil Eye,16,Lobby 27,Round_1
10.0,Just The Boys,15,Lobby 27,Round_1
11.0,VATOS LOCOS,12,Lobby 27,Round_1
12.0,Perpetual Empire,11,Lobby 27,Round_1
13.0,APEX BOOMERS,9,Lobby 27,Round_1
14.0,Literal Bots,7,Lobby 27,Round_1
15.0,Soli Deo Gloria,0,Lobby 27,Round_1
1.0,Content Squad,52,Lobby 28,Round_1
2.0,NOXIOUS,48,Lobby 28,Round_1
3.0,JOYBOYS,48,Lobby 28,Round_1
4.0,Spacelanders,37,Lobby 28,Round_1
5.0,TeamDreams,34,Lobby 28,Round_1
6.0,DarkRoyalNation,32,Lobby 28,Round_1
7.0,PradoHouseCigar,21,Lobby 28,Round_1
8.0,Team Name,19,Lobby 28,Round_1
9.0,Plimbo,19,Lobby 28,Round_1
10.0,UNDD,18,Lobby 28,Round_1
11.0,The Dusters,15,Lobby 28,Round_1
12.0,Vengeance,11,Lobby 28,Round_1
13.0,EXOTICK,9,Lobby 28,Round_1
14.0,Zime,5,Lobby 28,Round_1
15.0,Bulldogs,4,Lobby 28,Round_1
1.0,WPH,57,Lobby 29,Round_1
2.0,Specter,55,Lobby 29,Round_1
3.0,Raised By Wolves,48,Lobby 29,Round_1
4.0,4 Told,34,Lobby 29,Round_1
5.0,MoonStone,33,Lobby 29,Round_1
6.0,Chefs,31,Lobby 29,Round_1
7.0,GearsKidsonApex,25,Lobby 29,Round_1
8.0,Onyx,24,Lobby 29,Round_1
9.0,Lights Out,18,Lobby 29,Round_1
10.0,CastAways,15,Lobby 29,Round_1
11.0,Suck my thermite,10,Lobby 29,Round_1
12.0,RND,8,Lobby 29,Round_1
13.0,TNGS,7,Lobby 29,Round_1
14.0,AirPlane Mode,5,Lobby 29,Round_1
15.0,Built For War,2,Lobby 29,Round_1
1.0,BW,102,Lobby 2,Round_1
2.0,Spooky Scary,66,Lobby 2,Round_1
3.0,HololiveDXD,26,Lobby 2,Round_1
4.0,6ide,23,Lobby 2,Round_1
5.0,ParkingLotBirds,21,Lobby 2,Round_1
6.0,Azakana,20,Lobby 2,Round_1
7.0,Bot Squad,17,Lobby 2,Round_1
8.0,Team Animo,17,Lobby 2,Round_1
9.0,The Not Squad,16,Lobby 2,Round_1
10.0,KingsVictoryClub,15,Lobby 2,Round_1
11.0,AVS,12,Lobby 2,Round_1
12.0,Remember Reach,11,Lobby 2,Round_1
13.0,Themeathouse,10,Lobby 2,Round_1
14.0,Team Raven,8,Lobby 2,Round_1
1.0,Jacked and Tan,87,Lobby 30,Round_1
2.0,MoJo,52,Lobby 30,Round_1
3.0,UORG,48,Lobby 30,Round_1
4.0,BobaBallers,27,Lobby 30,Round_1
5.0,Black Panthers,26,Lobby 30,Round_1
6.0,G7 Legends,21,Lobby 30,Round_1
7.0,Sopa de Mancos,17,Lobby 30,Round_1
8.0,SolarImpact,17,Lobby 30,Round_1
9.0,Elation Esports,17,Lobby 30,Round_1
10.0,TTN ALPHA,16,Lobby 30,Round_1
11.0,Los Nenuckles,12,Lobby 30,Round_1
12.0,Tin Roof Tacos,6,Lobby 30,Round_1
13.0,Krazy Krew,6,Lobby 30,Round_1
14.0,WRLDDomination,2,Lobby 30,Round_1
1.0,Unsigned Talent,89,Lobby 31,Round_1
2.0,C K 8,58,Lobby 31,Round_1
3.0,Yuzu Dog,44,Lobby 31,Round_1
4.0,Baecation,27,Lobby 31,Round_1
5.0,Global,26,Lobby 31,Round_1
6.0,Intertainers,23,Lobby 31,Round_1
7.0,Dee Em Zee,22,Lobby 31,Round_1
8.0,VHS,17,Lobby 31,Round_1
9.0,El Sindicato,12,Lobby 31,Round_1
10.0,Valkyrie Array,12,Lobby 31,Round_1
11.0,Silhouette,12,Lobby 31,Round_1
12.0,Fog Yo City,9,Lobby 31,Round_1
13.0,The Wolf Union,9,Lobby 31,Round_1
14.0,Hard stuck D4,9,Lobby 31,Round_1
15.0,Green Bean Gang,2,Lobby 31,Round_1
1.0,BAD,75,Lobby 32,Round_1
2.0,IFE,75,Lobby 32,Round_1
3.0,OrgSignUs,36,Lobby 32,Round_1
4.0,SUP,35,Lobby 32,Round_1
5.0,Adonitology,28,Lobby 32,Round_1
6.0,Devils x Death,17,Lobby 32,Round_1
7.0,Shadow IllusionZ,15,Lobby 32,Round_1
8.0,Solus,14,Lobby 32,Round_1
9.0,ill,14,Lobby 32,Round_1
10.0,Aim Botz,14,Lobby 32,Round_1
11.0,We Better Word,13,Lobby 32,Round_1
12.0,GLO,12,Lobby 32,Round_1
13.0,JokersFC,4,Lobby 32,Round_1
14.0,MBM,4,Lobby 32,Round_1
1.0,Hooiya,102,Lobby 3,Round_1
2.0,TOAOS GG,41,Lobby 3,Round_1
3.0,2Sticks1Musician,36,Lobby 3,Round_1
4.0,Monke Mode 3B,31,Lobby 3,Round_1
5.0,Shadow Point,24,Lobby 3,Round_1
6.0,Apex orphans,23,Lobby 3,Round_1
7.0,Forever Gaming,19,Lobby 3,Round_1
8.0,Bull Gang,19,Lobby 3,Round_1
9.0,Kaen Esports,18,Lobby 3,Round_1
10.0,Tokyo manji,17,Lobby 3,Round_1
11.0,OwO,16,Lobby 3,Round_1
12.0,HYPERION,14,Lobby 3,Round_1
13.0,Bocek Bandits,8,Lobby 3,Round_1
14.0,Gauntlet Esports,8,Lobby 3,Round_1
15.0,DFA,6,Lobby 3,Round_1
1.0,DNO,91,Lobby 4,Round_1
2.0,Controller Bots,41,Lobby 4,Round_1
3.0,ING,30,Lobby 4,Round_1
4.0,Nobody,28,Lobby 4,Round_1
5.0,Kox Gaming,26,Lobby 4,Round_1
6.0,Hardstuck10k,25,Lobby 4,Round_1
7.0,XcellentEra,24,Lobby 4,Round_1
8.0,UBC Blue,19,Lobby 4,Round_1
9.0,ROT,18,Lobby 4,Round_1
10.0,The Monke Men,16,Lobby 4,Round_1
11.0,INF,15,Lobby 4,Round_1
12.0,Lonesome Devils,12,Lobby 4,Round_1
13.0,Dub4Bub,9,Lobby 4,Round_1
14.0,Modern Esports,9,Lobby 4,Round_1
15.0,LegendaryEsports,8,Lobby 4,Round_1
1.0,SMP,93,Lobby 5,Round_1
2.0,Dumpsters,49,Lobby 5,Round_1
3.0,We Lose,39,Lobby 5,Round_1
4.0,Selfish Team,33,Lobby 5,Round_1
5.0,High Dexterity,22,Lobby 5,Round_1
6.0,MEAL Team 6,20,Lobby 5,Round_1
7.0,WeBall,17,Lobby 5,Round_1
8.0,SQS Gaming,17,Lobby 5,Round_1
9.0,Fallen Legacy,16,Lobby 5,Round_1
10.0,SW,15,Lobby 5,Round_1
11.0,BlueDevilsGaming,14,Lobby 5,Round_1
12.0,Bro Exclusive,14,Lobby 5,Round_1
13.0,Cerberus,14,Lobby 5,Round_1
14.0,Good Vibes Only,8,Lobby 5,Round_1
15.0,Rising. Phoenix,7,Lobby 5,Round_1
1.0,Insurgents,48,Lobby 6,Round_1
2.0,Pipeliners,47,Lobby 6,Round_1
3.0,TS,39,Lobby 6,Round_1
4.0,KDT,39,Lobby 6,Round_1
5.0,Hi,36,Lobby 6,Round_1
6.0,The Loud Boys,35,Lobby 6,Round_1
7.0,AGL,28,Lobby 6,Round_1
8.0,Team Asensinos,25,Lobby 6,Round_1
9.0,Team Pepinito,14,Lobby 6,Round_1
10.0,Sleepy Hut,14,Lobby 6,Round_1
11.0,Exoterran X,12,Lobby 6,Round_1
12.0,Squid Squad,11,Lobby 6,Round_1
13.0,ELIT3 EMPIRE,9,Lobby 6,Round_1
14.0,The Banner Bros,8,Lobby 6,Round_1
15.0,Three Lil Bots,4,Lobby 6,Round_1
1.0,NBL,66,Lobby 7,Round_1
2.0,My Neck My Back,62,Lobby 7,Round_1
3.0,The Semi Pros,47,Lobby 7,Round_1
4.0,Titanes,37,Lobby 7,Round_1
5.0,LadyandTheTramps,32,Lobby 7,Round_1
6.0,Phantom Troupe,30,Lobby 7,Round_1
7.0,On They Ayy,27,Lobby 7,Round_1
8.0,Dream,14,Lobby 7,Round_1
9.0,Faithwithhope,13,Lobby 7,Round_1
10.0,Alfa Lobo,10,Lobby 7,Round_1
11.0,The Goon Squad,9,Lobby 7,Round_1
12.0,Team PreMid,8,Lobby 7,Round_1
13.0,Mercurial Gaming,7,Lobby 7,Round_1
14.0,Hunter Legends,6,Lobby 7,Round_1
15.0,Crew 686,6,Lobby 7,Round_1
1.0,SXG,107,Lobby 8,Round_1
2.0,AGLY,39,Lobby 8,Round_1
3.0,SBD,36,Lobby 8,Round_1
4.0,StepBros,35,Lobby 8,Round_1
5.0,gibbyhands,33,Lobby 8,Round_1
6.0,Team Sanitizer,29,Lobby 8,Round_1
7.0,CGG,23,Lobby 8,Round_1
8.0,Apex Quarentine,18,Lobby 8,Round_1
9.0,Bloodline,12,Lobby 8,Round_1
10.0,Club Penguin,11,Lobby 8,Round_1
11.0,Oasis,11,Lobby 8,Round_1
12.0,DRAINERS,10,Lobby 8,Round_1
13.0,SJ Esports,9,Lobby 8,Round_1
14.0,Christian Lads,8,Lobby 8,Round_1
15.0,Ethereal League,5,Lobby 8,Round_1
1.0,xD,70,Lobby 9,Round_1
2.0,Good Vibes,60,Lobby 9,Round_1
3.0,LVG,53,Lobby 9,Round_1
4.0,Inglorious,31,Lobby 9,Round_1
5.0,Aim Assist GG,27,Lobby 9,Round_1
6.0,Lunas Superiores,23,Lobby 9,Round_1
7.0,Washed Bois,21,Lobby 9,Round_1
8.0,Vendetta,18,Lobby 9,Round_1
9.0,Poutine Taco,17,Lobby 9,Round_1
10.0,Kraken,13,Lobby 9,Round_1
11.0,evanescence,12,Lobby 9,Round_1
12.0,Bear Gang,12,Lobby 9,Round_1
13.0,New Legends,10,Lobby 9,Round_1
14.0,PVE esports,7,Lobby 9,Round_1
15.0,Team Savage,6,Lobby 9,Round_1
1.0,NVKT,63,Lobby 10,Round_2
2.0,EST,56,Lobby 10,Round_2
3.0,NM,39,Lobby 10,Round_2
4.0,Distruttori Team,37,Lobby 10,Round_2
5.0,Sniper Meta,36,Lobby 10,Round_2
6.0,Tijuana Piranas,35,Lobby 10,Round_2
7.0,MAP,24,Lobby 10,Round_2
8.0,1 vs Lobby,23,Lobby 10,Round_2
9.0,2 Zoomers1boomer,21,Lobby 10,Round_2
10.0,The Big 3,19,Lobby 10,Round_2
11.0,Vault Hunters,17,Lobby 10,Round_2
12.0,Impulsive Gaming,15,Lobby 10,Round_2
13.0,Team Boomer,8,Lobby 10,Round_2
14.0,Dominators,7,Lobby 10,Round_2
15.0,Guys Being Dudes,5,Lobby 10,Round_2
16.0,EKO,3,Lobby 10,Round_2
17.0,KThrewLife,2,Lobby 10,Round_2
18.0,Team SlamJam,2,Lobby 10,Round_2
19.0,Cod kids,1,Lobby 10,Round_2
20.0,Watson 2 Strong,0,Lobby 10,Round_2
1.0,NEAN,58,Lobby 11,Round_2
2.0,AM,51,Lobby 11,Round_2
3.0,Lethal Villains,43,Lobby 11,Round_2
4.0,TPM,35,Lobby 11,Round_2
5.0,FROG,32,Lobby 11,Round_2
6.0,Swanky Boys,30,Lobby 11,Round_2
7.0,GNR,28,Lobby 11,Round_2
8.0,Sussy Bakas,27,Lobby 11,Round_2
9.0,Shibby,23,Lobby 11,Round_2
10.0,JIN,23,Lobby 11,Round_2
11.0,Anarchy,17,Lobby 11,Round_2
12.0,TheBidetBoys,12,Lobby 11,Round_2
13.0,Spicy,12,Lobby 11,Round_2
14.0,JEAGERS,7,Lobby 11,Round_2
15.0,Team HitX,7,Lobby 11,Round_2
16.0,Stuck Diamonds,5,Lobby 11,Round_2
17.0,Int Us Harder,4,Lobby 11,Round_2
18.0,TTN CRIO,4,Lobby 11,Round_2
19.0,MexicanPowerTeam,0,Lobby 11,Round_2
20.0,Godz of deci,0,Lobby 11,Round_2
1.0,Lonely Fans,81,Lobby 12,Round_2
2.0,RT,53,Lobby 12,Round_2
3.0,Unlucky,43,Lobby 12,Round_2
4.0,En corto Garmers,39,Lobby 12,Round_2
5.0,Corruption,26,Lobby 12,Round_2
6.0,Dunk Squad,21,Lobby 12,Round_2
7.0,Los Hefes,21,Lobby 12,Round_2
8.0,trippinoncables,21,Lobby 12,Round_2
9.0,TAG NA,20,Lobby 12,Round_2
10.0,Laggy 'n Rollers,19,Lobby 12,Round_2
11.0,Mid Piece,17,Lobby 12,Round_2
12.0,Captains,13,Lobby 12,Round_2
13.0,ChayKayJay,13,Lobby 12,Round_2
14.0,LF,12,Lobby 12,Round_2
15.0,Zachs Chest Hair,12,Lobby 12,Round_2
16.0,Kaged,10,Lobby 12,Round_2
17.0,Them Boiz,6,Lobby 12,Round_2
18.0,The Other Guys,5,Lobby 12,Round_2
19.0,Eternal x Beasts,4,Lobby 12,Round_2
20.0,Spood Beest,4,Lobby 12,Round_2
1.0,2B1C,68,Lobby 13,Round_2
2.0,ForcesGG,65,Lobby 13,Round_2
3.0,PUBS,61,Lobby 13,Round_2
4.0,BOT,49,Lobby 13,Round_2
5.0,WASH,37,Lobby 13,Round_2
6.0,RISK,21,Lobby 13,Round_2
7.0,Hold The Door,20,Lobby 13,Round_2
8.0,Filii Martis,20,Lobby 13,Round_2
9.0,LNT,17,Lobby 13,Round_2
10.0,Yess,14,Lobby 13,Round_2
11.0,Anfield,12,Lobby 13,Round_2
12.0,ATRX,12,Lobby 13,Round_2
13.0,Shady Kings,11,Lobby 13,Round_2
14.0,UnderWorldGaming,11,Lobby 13,Round_2
15.0,Team_Supr3me,7,Lobby 13,Round_2
16.0,Tater,6,Lobby 13,Round_2
17.0,TheCerealKillers,6,Lobby 13,Round_2
18.0,RLP,4,Lobby 13,Round_2
19.0,NoGiveupGaming,2,Lobby 13,Round_2
20.0,Dark Matter,2,Lobby 13,Round_2
1.0,Dark Matter,60,Lobby 14,Round_2
2.0,Content Squad,49,Lobby 14,Round_2
3.0,Movement Temple,41,Lobby 14,Round_2
4.0,Blockbuster,39,Lobby 14,Round_2
