C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
,RID,43,1,14,8,0,19,1,13,1,6,4,7,2,Round 2
,BKMN,37,5,2,5,3,11,2,10,10,12,3,10,3,Round 2
,FSV,34,7,5,13,3,8,1,19,0,5,5,3,3,Round 2
,Joel Mark,33,20,0,17,0,15,2,1,7,7,5,12,2,Round 2
,A2,29,11,0,19,0,2,9,18,1,13,4,15,3,Round 2
,Marine,27,19,0,4,5,14,4,4,2,11,0,14,3,Round 2
,CJAM,27,14,0,7,1,13,0,8,3,3,3,4,1,Round 2
,DTN,22,16,5,9,3,18,0,16,6,15,3,18,2,Round 2
,IBSG,22,9,1,18,0,6,2,17,0,2,5,19,0,Round 2
,MTR,20,13,0,12,0,10,1,12,0,8,4,5,4,Round 2
,USG,19,10,0,10,1,7,2,5,2,19,0,8,1,Round 2
,RXC,18,18,2,20,0,20,0,15,3,17,1,2,2,Round 2
,UC,13,15,1,11,0,16,3,7,4,16,0,17,0,Round 2
,ENG,4,8,0,16,0,17,0,20,0,20,1,16,1,Round 2
,456,63,1,11,17,0,10,1,2,10,20,1,3,10,Round 3
,RC,54,2,7,13,1,1,15,19,0,19,2,7,4,Round 3
,A2,50,6,7,2,13,17,0,7,1,5,4,8,4,Round 3
,FL,46,11,2,15,2,7,4,14,4,9,4,1,10,Round 3
,RID,46,14,2,5,0,12,0,4,4,1,9,9,6,Round 3
,CR,38,9,0,18,2,5,10,3,5,12,2,13,4,Round 3
,UC,37,16,1,6,2,18,0,6,4,2,10,5,1,Round 3
,BKMN,37,15,1,7,3,8,1,1,7,7,2,16,2,Round 3
,NTH,37,4,2,4,3,14,2,15,3,3,3,6,2,Round 3
,MTR,33,3,6,10,0,6,1,5,8,10,0,20,0,Round 3
,FAV,32,10,3,16,1,2,11,11,2,14,2,18,0,Round 3
,BKGK,30,18,0,1,6,15,1,17,0,15,1,4,3,Round 3
,ENG,29,12,1,9,3,3,4,16,0,4,5,14,0,Round 3
,LDN,28,13,1,3,3,11,0,10,1,18,2,2,1,Round 3
,RPG,28,5,4,11,7,4,4,20,0,8,1,19,0,Round 3
,HE,22,8,5,19,0,16,3,8,1,6,3,10,1,Round 3
,TW,18,17,0,8,3,19,0,9,5,11,0,11,4,Round 3
,FSV,18,7,2,20,0,20,0,13,4,13,5,15,1,Round 3
,SG,12,20,0,14,2,9,0,12,3,17,0,17,3,Round 3
,Ace1,10,19,0,12,3,13,4,18,0,16,0,12,0,Round 3
1,IBSG,64,3,1,8,0,2,3,2,4,1,10,4,2,Round 4
2,Flora,64,10,3,2,4,1,7,4,4,2,8,15,0,Round 4
3,DTN,62,1,23,4,8,14,0,5,7,16,0,19,2,Round 4
4,FCD,60,8,7,5,3,19,0,1,16,15,1,3,7,Round 4
5,RXC,51,16,1,9,10,10,3,12,0,3,5,2,11,Round 4
6,UNI,40,6,3,1,7,15,2,9,0,6,2,10,3,Round 4
7,GTS,38,2,1,7,2,11,0,3,8,10,3,17,2,Round 4
8,ORF,34,7,3,11,4,7,5,14,2,4,5,9,0,Round 4
9,CJAM,31,11,2,10,0,3,2,16,0,5,9,14,3,Round 4
10,USG,30,20,0,20,0,5,6,20,0,13,0,1,7,Round 4
11,Joel Mark,28,14,0,13,4,9,7,10,4,7,2,12,1,Round 4
12,SYTH,28,4,1,3,6,17,4,6,0,8,0,18,0,Round 4
13,D4RK,21,12,0,18,2,8,3,7,3,17,2,7,2,Round 4
14,V3,20,13,2,16,1,4,5,11,0,14,0,13,3,Round 4
15,RIG-N,19,9,1,17,0,6,10,17,0,11,2,16,0,Round 4
16,LAG,19,19,0,6,4,18,0,19,0,9,1,5,5,Round 4
17,APXRS,15,18,0,14,1,12,0,8,4,19,4,11,1,Round 4
18,G8S,14,17,3,15,0,20,0,13,1,18,3,8,3,Round 4
19,Marine,14,5,1,19,0,16,0,15,3,20,0,6,2,Round 4
20,AVA,13,15,4,12,4,13,1,18,0,12,0,20,0,Round 4
,RXC,73,1,6,18,0,4,12,3,7,5,8,9,10,Round 5
,UNI,69,6,2,1,9,1,11,18,0,4,6,3,2,Round 5
,BKGK,57,14,9,10,2,13,1,14,2,3,3,1,16,Round 5
,Flora,51,12,0,16,3,2,5,1,10,6,2,6,3,Round 5
,RC,46,13,2,7,7,6,2,16,3,1,9,12,3,Round 5
,USG,44,10,3,5,1,10,2,6,8,12,4,2,5,Round 5
,HE,36,3,9,9,0,19,0,4,4,8,3,10,2,Round 5
,Joel Mark,33,9,6,12,4,12,2,11,2,14,4,4,4,Round 5
,Marine,29,4,0,8,1,3,3,7,3,13,4,20,0,Round 5
,DTN,27,18,0,3,1,17,6,9,6,11,1,13,2,Round 5
,NTH,27,2,4,15,1,9,1,12,0,10,1,15,4,Round 5
,FL,27,5,7,20,1,18,0,8,0,2,2,8,0,Round 5
,SG,26,16,4,4,9,15,1,17,0,19,4,17,2,Round 5
,CJAM,26,8,0,13,1,5,3,5,5,9,0,7,1,Round 5
,IBSG,24,15,0,2,8,11,3,19,0,15,0,11,0,Round 5
,Ace1,19,11,2,11,3,7,1,15,0,7,2,18,2,Round 5
,RPG,16,20,0,14,2,8,2,20,0,20,1,5,4,Round 5
,LDN,16,7,0,6,2,16,2,10,2,17,1,19,1,Round 5
,TW,14,19,1,17,0,14,0,2,3,18,0,16,0,Round 5
,APXRS,5,17,0,19,0,20,0,13,0,16,3,14,0,Round 5
,RIG-N,80,4,10,2,6,5,6,1,9,3,6,4,1,Round 6
,RID,60,6,2,7,8,1,17,14,5,11,3,8,3,Round 6
,GTS,56,8,2,3,9,2,3,7,0,8,1,1,6,Round 6
,FAV,45,3,4,9,5,17,2,18,1,1,12,19,0,Round 6
,V3,45,2,4,8,2,7,3,2,8,15,3,11,0,Round 6
,CR,43,1,11,16,3,11,1,19,0,17,0,2,6,Round 6
,MTR,38,5,6,5,1,3,2,13,1,7,5,13,3,Round 6
,ORF,37,11,0,1,11,4,2,10,0,9,1,12,0,Round 6
,FCD,36,19,3,19,1,16,2,11,2,2,11,10,5,Round 6
,G8S,33,12,0,12,0,14,0,3,7,4,4,3,0,Round 6
,UC,32,13,2,6,0,12,1,8,1,13,5,6,12,Round 6
,FSV,31,20,1,10,2,10,5,16,1,10,3,7,10,Round 6
,456,24,16,1,13,3,15,3,6,3,6,2,9,2,Round 6
,A2,22,18,0,17,0,13,0,5,5,19,0,5,8,Round 6
,BKMN,22,10,2,18,0,6,3,4,6,12,0,18,0,Round 6
,D4RK,14,15,2,4,2,19,2,17,2,16,0,20,0,Round 6
,LAG,13,9,2,20,0,20,0,20,0,5,1,15,3,Round 6
,SYTH,13,7,3,11,0,8,2,12,0,20,0,14,0,Round 6
,AVA,12,14,1,15,3,9,0,15,1,14,1,17,0,Round 6
,ENG,8,17,0,14,0,18,0,9,5,18,0,16,0,Round 6
,D4RK,59,1,15,3,3,9,1,5,9,16,3,12,2,Round 7
,FL,59,18,0,1,10,17,3,8,8,18,0,1,12,Round 7
,RIG-N,59,5,5,10,4,4,3,1,7,4,10,9,0,Round 7
,SG,48,7,2,20,0,1,6,20,0,3,8,4,5,Round 7
,RC,39,16,0,17,3,5,8,10,2,1,6,10,0,Round 7
,HE,37,15,0,19,0,11,3,2,4,2,2,5,4,Round 7
,LDN,35,4,9,4,6,12,3,18,0,8,1,8,1,Round 7
,AVA,34,6,4,2,8,3,1,14,0,19,0,16,1,Round 7
,SYTH,33,2,3,5,0,8,1,3,2,5,0,11,0,Round 7
,V3,32,3,4,16,1,15,2,13,0,7,5,14,7,Round 7
,BKGK,32,12,2,9,4,2,4,16,0,13,1,7,5,Round 7
,FCD,31,17,4,11,5,16,3,7,9,10,3,17,1,Round 7
,TW,26,10,0,15,1,18,0,11,6,17,0,2,6,Round 7
,GTS,22,11,0,6,0,6,6,6,0,15,3,15,1,Round 7
,ORF,21,9,3,8,2,10,9,17,0,20,0,13,0,Round 7
,LAG,21,19,3,14,0,20,0,12,2,11,1,3,5,Round 7
,G8S,20,20,0,18,0,19,0,4,4,6,5,6,0,Round 7
,NTH,16,8,1,7,6,13,0,19,0,9,1,18,0,Round 7
,Ace1,14,14,0,12,2,14,0,9,2,12,4,20,0,Round 7
,RPG,13,13,1,13,0,7,0,15,0,14,2,19,3,Round 7
,RID,91,8,5,3,7,1,10,1,12,12,1,5,18,Round 8
,UC,65,1,12,5,7,2,6,9,4,10,6,14,0,Round 8
,Flora,48,16,0,7,1,11,2,7,3,1,14,3,2,Round 8
,CR,45,2,8,4,7,20,0,2,5,8,0,20,0,Round 8
,BKMN,44,12,9,10,8,8,10,15,3,11,1,7,3,Round 8
,FAV,43,15,1,9,5,6,4,18,0,2,13,6,2,Round 8
,456,42,7,2,1,9,9,2,3,2,7,0,17,0,Round 8
,APXRS,40,9,4,14,3,4,6,14,0,13,1,2,7,Round 8
,A2,35,4,7,6,4,7,5,13,2,16,3,11,1,Round 8
,UNI,34,18,0,16,2,5,0,8,3,9,2,1,7,Round 8
,RXC,31,17,0,2,3,14,0,10,12,20,1,8,1,Round 8
,FSV,30,6,1,18,0,12,4,5,5,18,5,12,6,Round 8
,IBSG,30,3,2,20,0,3,5,20,0,15,0,4,3,Round 8
,MTR,20,5,5,8,0,15,0,12,0,5,2,15,0,Round 8
,CJAM,18,11,0,13,2,10,2,16,0,6,2,13,4,Round 8
,Marine,16,20,0,12,0,13,0,11,1,3,2,9,1,Round 8
,ENG,14,10,0,17,0,16,0,6,2,4,2,16,0,Round 8
,Joel Mark,11,19,0,11,1,17,3,17,0,17,0,10,4,Round 8
,USG,11,14,0,15,0,19,0,4,2,14,0,18,1,Round 8
,DTN,3,13,1,19,0,18,0,19,0,19,1,19,0,Round 8
,RID,92,2,5,1,15,4,7,2,11,2,7,12,2,Round 9
,RC,76,10,4,5,6,8,7,4,1,1,8,1,13,Round 9
,FL,49,3,9,12,2,10,3,10,2,8,0,2,10,Round 9
,BKMN,47,1,12,11,4,9,3,11,4,5,3,14,0,Round 9
,UC,45,4,10,19,0,18,1,6,6,6,9,6,5,Round 9
,FSV,43,16,0,2,4,1,13,19,0,11,2,15,1,Round 9
,FAV,36,8,3,15,0,11,2,3,4,17,2,3,7,Round 9
,A2,33,6,0,14,5,7,2,15,0,4,10,8,1,Round 9
,456,30,12,0,16,1,12,1,1,10,19,0,13,3,Round 9
,SG,29,18,0,3,7,15,0,8,3,3,2,19,0,Round 9
,CR,28,7,8,10,6,13,2,17,0,12,1,10,2,Round 9
,BKGK,23,15,0,8,0,17,4,5,6,20,0,4,1,Round 9
,LDN,21,14,2,13,1,14,1,18,3,14,6,5,0,Round 9
,RPG,21,13,1,9,2,3,0,16,0,10,3,9,1,Round 9
,LFO,20,5,0,7,0,2,1,20,0,18,2,16,1,Round 9
,TW,19,19,0,4,5,6,1,9,0,15,0,18,2,Round 9
,MTR,16,9,2,17,0,16,0,7,1,7,1,11,3,Round 9
,Ace1,14,20,0,18,0,5,7,14,0,16,2,20,0,Round 9
,ENG,14,12,1,20,0,19,0,12,0,9,1,7,5,Round 9
,NTH,10,17,2,6,0,20,0,13,3,13,0,17,0,Round 9
