Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,Unnamed: 0,P.4,K.4,P.5,K.5,PQL
10.0,MZY,19,18,0,2,6,14,1,8,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
11.0,Kryptic,18,7,4,4,1,7,1,15,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
12.0,Vanaheim Gaming,17,13,0,8,4,3,3,16,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
13.0,1515,16,12,1,5,5,15,0,9,2,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
14.0,Excellents,13,17,0,15,6,12,1,14,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
15.0,BFG,13,5,1,14,1,6,1,10,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
16.0,60fps,11,9,7,12,0,16,0,12,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
17.0,BWG,5,8,0,7,0,17,0,18,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
18.0,3 Uomini 1 Gamba,0,20,0,20,0,20,0,20,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
19.0,Aesir,0,16,0,18,0,18,0,17,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
20.0,DoubleuandL,0,20,0,20,0,20,0,20,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
1.0,MP,56,5,2,11,3,1,11,1,11,Lobby 1,Quarterfinals,0.0,,,,,Preseason_Qualifier_1
2.0,AUS,50,1,9,3,6,3,5,11,3,Lobby 1,Quarterfinals,1.0,,,,,Preseason_Qualifier_1
3.0,GIGI,38,15,7,18,3,10,0,2,16,Lobby 1,Quarterfinals,2.0,,,,,Preseason_Qualifier_1
4.0,SMS,34,2,17,13,4,16,3,20,0,Lobby 1,Quarterfinals,3.0,,,,,Preseason_Qualifier_1
5.0,Hope Die Last,33,17,0,5,6,2,8,4,1,Lobby 1,Quarterfinals,4.0,,,,,Preseason_Qualifier_1
6.0,AAS,32,8,4,2,9,11,1,5,2,Lobby 1,Quarterfinals,5.0,,,,,Preseason_Qualifier_1
7.0,BCG,29,7,1,4,2,4,4,7,6,Lobby 1,Quarterfinals,6.0,,,,,Preseason_Qualifier_1
8.0,SPIRAL,28,11,1,1,8,6,3,18,0,Lobby 1,Quarterfinals,7.0,,,,,Preseason_Qualifier_1
