Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
5.0,PATETEX,30,10,1,1,8,19,0,7,4,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
6.0,As Misera,29,17,4,5,4,3,9,15,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
7.0,Team seven,28,2,10,11,5,11,0,13,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
8.0,GDb,27,3,6,8,7,15,0,11,3,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
9.0,BRZ,27,4,3,16,2,9,0,2,6,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
10.0,BHT,23,5,1,3,2,8,0,6,4,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
11.0,PoliShopu,18,7,1,12,2,7,2,5,2,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
12.0,PVP,14,12,1,13,2,13,6,8,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
13.0,DavillaCrew,12,14,0,7,3,4,0,17,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
14.0,Morri Nem Vi,10,8,3,10,0,17,0,10,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
15.0,BRATVA420Forever,9,19,2,15,0,18,1,9,3,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
16.0,KDT - Amber,6,6,0,20,1,12,0,16,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
17.0,Vingadores Team,6,18,0,18,0,5,2,18,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
18.0,LostSoulsDreamer,4,15,0,14,0,10,0,19,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
19.0,TRAGIIC BR,2,13,0,19,0,16,0,14,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
20.0,NOKID E-SPORTS,0,20,0,17,0,20,0,20,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
1.0,SST,91,1,20,1,15,1,14,7,3,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
2.0,Love Egirls,37,4,4,11,5,11,6,3,8,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
3.0,PRDX,31,14,0,3,5,12,0,1,5,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
4.0,ElemenT,30,2,6,8,3,5,5,14,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
5.0,Fluxo Team,27,5,2,4,6,7,1,10,4,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
6.0,Sobek,26,17,0,6,2,9,4,2,6,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
7.0,Seven,25,19,0,10,9,3,7,16,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
8.0,SP,21,15,1,7,3,6,2,9,6,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
9.0,LIONS,20,13,2,12,0,4,5,4,1,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
10.0,Legión de monos,20,8,1,2,0,8,0,5,2,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
