Standings,Team.1,Total,Lobby,Round,Region
12,WRG,11,Lobby 1,Round_1,EMEA
13,Sapere Aude,10,Lobby 1,Round_1,EMEA
14,TILT,10,Lobby 1,Round_1,EMEA
15,YoKaï,8,Lobby 1,Round_1,EMEA
16,AimAssistRed,5,Lobby 1,Round_1,EMEA
17,OXR,5,Lobby 1,Round_1,EMEA
1,AP,65,Lobby 2,Round_1,EMEA
2,GIGI,52,Lobby 2,Round_1,EMEA
3,BCG,43,Lobby 2,Round_1,EMEA
4,MOB INT,42,Lobby 2,Round_1,EMEA
5,7Hologram,36,Lobby 2,Round_1,EMEA
6,SMS,36,Lobby 2,Round_1,EMEA
7,Royal Mooses,28,Lobby 2,Round_1,EMEA
8,Excellent Era,22,Lobby 2,Round_1,EMEA
9,MantaX,16,Lobby 2,Round_1,EMEA
10,LegitGoats,15,Lobby 2,Round_1,EMEA
11,Nobody,15,Lobby 2,Round_1,EMEA
12,Phoenix,14,Lobby 2,Round_1,EMEA
13,INEX,9,Lobby 2,Round_1,EMEA
14,47 squad,8,Lobby 2,Round_1,EMEA
15,TAG,6,Lobby 2,Round_1,EMEA
16,420SwampWarriors,5,Lobby 2,Round_1,EMEA
17,Helheim E-sport,5,Lobby 2,Round_1,EMEA
18,Profi PUPS,5,Lobby 2,Round_1,EMEA
1,Proxima,66,Lobby 3,Round_1,EMEA
2,Kamisato,47,Lobby 3,Round_1,EMEA
3,NoFear,43,Lobby 3,Round_1,EMEA
4,AUS,40,Lobby 3,Round_1,EMEA
5,Hope Die Last,36,Lobby 3,Round_1,EMEA
6,SPIRAL,29,Lobby 3,Round_1,EMEA
7,UTFT,29,Lobby 3,Round_1,EMEA
8,Minor Keepers,23,Lobby 3,Round_1,EMEA
9,weebs,19,Lobby 3,Round_1,EMEA
10,ZEBI,18,Lobby 3,Round_1,EMEA
11,Versatile Boys,17,Lobby 3,Round_1,EMEA
12,DSS_Apex,16,Lobby 3,Round_1,EMEA
13,Squad 104,7,Lobby 3,Round_1,EMEA
14,UnderDogs Greece,5,Lobby 3,Round_1,EMEA
15,IX LEGION,4,Lobby 3,Round_1,EMEA
16,CRF_team,3,Lobby 3,Round_1,EMEA
