Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
14.0,NXB,19,18,0,15,1,7,5,19,0,Lobby 1,Semifinals,12.0,0.0,11.0,7.0,Split_1,EMEA
15.0,Justthreeplayers,15,10,0,13,6,9,1,18,0,Lobby 1,Semifinals,20.0,0.0,17.0,3.0,Split_1,EMEA
16.0,iEnvy,15,15,1,10,0,8,2,9,1,Lobby 1,Semifinals,8.0,1.0,13.0,0.0,Split_1,EMEA
17.0,Senbonzakura,14,16,0,8,1,10,0,7,2,Lobby 1,Semifinals,15.0,3.0,20.0,0.0,Split_1,EMEA
18.0,CHI,9,8,0,11,3,11,0,10,0,Lobby 1,Semifinals,18.0,0.0,19.0,0.0,Split_1,EMEA
19.0,weeboys,7,6,2,16,0,16,0,15,0,Lobby 1,Semifinals,16.0,0.0,14.0,0.0,Split_1,EMEA
20.0,ARIS,0,19,0,19,0,19,0,20,0,Lobby 1,Semifinals,17.0,0.0,16.0,0.0,Split_1,EMEA
1.0,INS,67,1,13,10,3,4,10,3,7,Lobby 2,Semifinals,11.0,3.0,6.0,1.0,Split_1,EMEA
2.0,SJP2,58,14,6,3,13,10,6,11,1,Lobby 2,Semifinals,4.0,16.0,16.0,0.0,Split_1,EMEA
3.0,backseat,51,7,1,8,5,8,6,8,4,Lobby 2,Semifinals,1.0,6.0,5.0,4.0,Split_1,EMEA
4.0,HNY,50,3,3,12,2,15,0,5,5,Lobby 2,Semifinals,8.0,4.0,1.0,9.0,Split_1,EMEA
5.0,BLANK,47,9,9,13,1,2,8,12,2,Lobby 2,Semifinals,2.0,5.0,20.0,0.0,Split_1,EMEA
6.0,SCTA,47,8,2,5,2,6,1,4,11,Lobby 2,Semifinals,3.0,7.0,15.0,2.0,Split_1,EMEA
7.0,SPPI,44,2,6,1,13,18,0,16,0,Lobby 2,Semifinals,10.0,0.0,13.0,1.0,Split_1,EMEA
8.0,HKE,40,4,2,9,0,1,4,6,3,Lobby 2,Semifinals,6.0,1.0,9.0,3.0,Split_1,EMEA
9.0,WLS,32,20,0,20,0,13,3,1,6,Lobby 2,Semifinals,7.0,3.0,11.0,3.0,Split_1,EMEA
10.0,6bnt,31,13,0,15,0,5,5,17,1,Lobby 2,Semifinals,18.0,1.0,2.0,9.0,Split_1,EMEA
11.0,ZBW,30,17,0,11,3,20,0,14,6,Lobby 2,Semifinals,19.0,0.0,4.0,14.0,Split_1,EMEA
12.0,NoFear,26,16,0,2,8,17,0,10,1,Lobby 2,Semifinals,9.0,2.0,10.0,0.0,Split_1,EMEA
13.0,TRJ,23,10,4,4,3,9,3,19,0,Lobby 2,Semifinals,13.0,2.0,12.0,0.0,Split_1,EMEA
14.0,BFG,23,12,4,7,0,12,1,2,3,Lobby 2,Semifinals,12.0,0.0,19.0,0.0,Split_1,EMEA
15.0,Spacegliders,22,18,0,17,0,18,0,18,0,Lobby 2,Semifinals,5.0,7.0,3.0,4.0,Split_1,EMEA
16.0,Lucendi,22,5,8,6,3,11,0,13,0,Lobby 2,Semifinals,15.0,0.0,14.0,0.0,Split_1,EMEA
17.0,Exalty,21,15,1,14,0,14,4,9,6,Lobby 2,Semifinals,17.0,2.0,7.0,0.0,Split_1,EMEA
18.0,MantaX,18,6,0,19,0,3,5,7,0,Lobby 2,Semifinals,20.0,0.0,18.0,0.0,Split_1,EMEA
19.0,Yes,12,11,1,18,0,19,0,20,0,Lobby 2,Semifinals,14.0,3.0,8.0,4.0,Split_1,EMEA
20.0,HLDC,7,19,0,16,1,16,2,15,1,Lobby 2,Semifinals,16.0,2.0,17.0,0.0,Split_1,EMEA
1.0,AWL,85,6,3,1,15,1,9,10,7,Lobby 1,Finals,12.0,2.0,2.0,10.0,Split_1,EMEA
2.0,SMS,72,8,4,3,5,14,0,1,13,Lobby 1,Finals,1.0,10.0,6.0,3.0,Split_1,EMEA
3.0,TREX,59,3,3,2,5,9,3,9,2,Lobby 1,Finals,2.0,5.0,4.0,7.0,Split_1,EMEA
4.0,backseat,55,10,5,8,1,2,9,4,6,Lobby 1,Finals,6.0,8.0,10.0,3.0,Split_1,EMEA
5.0,SSD,45,1,10,15,2,8,2,18,1,Lobby 1,Finals,17.0,0.0,3.0,8.0,Split_1,EMEA
6.0,HKE,38,7,4,16,4,16,0,2,11,Lobby 1,Finals,5.0,3.0,16.0,0.0,Split_1,EMEA
7.0,WLS,34,11,7,7,5,13,5,8,4,Lobby 1,Finals,15.0,3.0,18.0,2.0,Split_1,EMEA
8.0,SJP2,34,4,6,17,0,11,0,7,1,Lobby 1,Finals,8.0,7.0,5.0,5.0,Split_1,EMEA
9.0,Steamroller,33,2,8,9,0,6,0,5,0,Lobby 1,Finals,10.0,1.0,7.0,1.0,Split_1,EMEA
10.0,SCTA,30,13,3,11,0,19,1,11,1,Lobby 1,Finals,18.0,0.0,1.0,10.0,Split_1,EMEA
11.0,INS,29,17,0,5,7,3,5,6,0,Lobby 1,Finals,16.0,1.0,9.0,0.0,Split_1,EMEA
12.0,6bnt,26,5,1,12,3,17,2,12,2,Lobby 1,Finals,3.0,3.0,13.0,1.0,Split_1,EMEA
13.0,Uchinix,25,20,0,4,0,4,5,20,0,Lobby 1,Finals,9.0,2.0,11.0,5.0,Split_1,EMEA
14.0,DOT,23,16,0,6,1,5,2,3,5,Lobby 1,Finals,20.0,0.0,15.0,0.0,Split_1,EMEA
15.0,CRAZYx3,22,12,2,13,3,18,1,13,1,Lobby 1,Finals,4.0,6.0,19.0,1.0,Split_1,EMEA
16.0,HNY,21,9,2,18,0,20,0,17,6,Lobby 1,Finals,7.0,6.0,12.0,1.0,Split_1,EMEA
17.0,GOD,16,14,1,10,1,7,4,14,0,Lobby 1,Finals,14.0,0.0,8.0,0.0,Split_1,EMEA
18.0,PRSTS,14,19,0,19,3,12,8,16,1,Lobby 1,Finals,13.0,0.0,20.0,0.0,Split_1,EMEA
19.0,BLANK,14,15,0,14,1,10,1,19,0,Lobby 1,Finals,11.0,1.0,14.0,5.0,Split_1,EMEA
20.0,SPPI,6,18,0,20,0,15,4,15,0,Lobby 1,Finals,19.0,0.0,17.0,0.0,Split_1,EMEA
1.0,TREX,62,7,8,2,9,2,11,2,4,Lobby 1,Quarterfinals,,,,,Split_1,EMEA
2.0,Sxercise,40,11,4,3,11,3,3,8,5,Lobby 1,Quarterfinals,,,,,Split_1,EMEA
3.0,Onl1chance,38,19,2,8,6,15,0,1,15,Lobby 1,Quarterfinals,,,,,Split_1,EMEA
4.0,ZBW,38,4,9,1,9,19,0,17,3,Lobby 1,Quarterfinals,,,,,Split_1,EMEA
