Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
1,CJAM,67,1,13,4,7,18,0,2,4,Lobby 1,Finals,11,1,2,6,APAC_North
2,D4RK,59,11,0,9,1,1,11,8,3,Lobby 1,Finals,6,3,1,9,APAC_North
3,LFT BKGK,53,4,3,12,6,8,3,5,11,Lobby 1,Finals,7,3,3,5,APAC_North
4,Lunatics,50,10,4,11,8,3,5,3,5,Lobby 1,Finals,8,3,7,3,APAC_North
5,GODOsushiTabetai,42,2,3,1,7,14,2,14,3,Lobby 1,Finals,16,0,5,0,APAC_North
6,GW,41,14,2,2,6,5,1,6,2,Lobby 1,Finals,14,2,6,7,APAC_North
7,KaisenDONDON,35,5,4,6,1,12,2,11,0,Lobby 1,Finals,5,3,4,7,APAC_North
8,IBSG,35,3,9,8,1,9,1,20,0,Lobby 1,Finals,2,4,17,0,APAC_North
9,Marine,34,15,2,17,0,6,5,10,0,Lobby 1,Finals,1,8,12,0,APAC_North
10,Black,33,16,3,10,0,16,3,1,11,Lobby 1,Finals,17,0,10,0,APAC_North
11,AVA,33,8,0,15,0,10,4,4,3,Lobby 1,Finals,3,5,14,3,APAC_North
12,RPG,31,12,0,3,7,4,8,18,1,Lobby 1,Finals,19,0,8,0,APAC_North
13,FC Destroy,26,19,4,16,3,7,7,9,4,Lobby 1,Finals,18,0,18,3,APAC_North
14,456,26,9,1,13,1,19,0,16,5,Lobby 1,Finals,10,9,13,4,APAC_North
15,LandMarkGondola,26,20,0,19,0,2,4,13,4,Lobby 1,Finals,9,1,9,3,APAC_North
16,BKMN,23,13,0,7,4,17,0,7,0,Lobby 1,Finals,4,7,16,0,APAC_North
17,ARK5,21,7,9,18,0,15,1,12,2,Lobby 1,Finals,12,2,15,0,APAC_North
18,HE,21,6,1,14,2,11,2,17,0,Lobby 1,Finals,15,2,11,7,APAC_North
19,SYTH,10,17,0,5,3,13,1,15,0,Lobby 1,Finals,20,0,20,0,APAC_North
20,Jamboree,6,18,0,20,0,20,0,19,0,Lobby 1,Finals,13,5,19,0,APAC_North
1,GS,69,17,1,4,14,16,0,1,15,Lobby 1,Semifinals,4,11,13,5,APAC_South
2,April,62,4,4,7,3,2,13,9,0,Lobby 1,Semifinals,1,7,12,3,APAC_South
3,RL.XV,54,13,6,12,5,15,3,3,5,Lobby 1,Semifinals,18,1,1,12,APAC_South
