Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,Split
1.0,ThreeBiden,80,14,2,3,10,2,8,4,15,6,8,7,9,Lobby 2,Semifinals,Split_1
2.0,SST,77,1,14,1,8,13,0,1,12,5,1,15,0,Lobby 2,Semifinals,Split_1
3.0,KDT - Amber,68,9,0,5,8,5,10,8,3,4,7,1,11,Lobby 2,Semifinals,Split_1
4.0,MFL-Escape,45,15,0,16,0,15,0,12,2,1,11,2,8,Lobby 2,Semifinals,Split_1
5.0,AK47,44,10,2,7,0,1,14,10,0,14,4,14,3,Lobby 2,Semifinals,Split_1
6.0,GUG,44,5,2,12,1,12,2,2,7,7,4,4,5,Lobby 2,Semifinals,Split_1
7.0,EZPIKERS,31,3,1,4,0,3,1,6,0,9,0,5,1,Lobby 2,Semifinals,Split_1
8.0,TBG,30,2,3,15,0,4,1,11,0,11,1,3,1,Lobby 2,Semifinals,Split_1
9.0,RAV,29,12,0,2,4,6,0,3,3,13,0,12,0,Lobby 2,Semifinals,Split_1
10.0,GDb,21,6,7,8,4,8,0,14,0,15,0,13,0,Lobby 2,Semifinals,Split_1
11.0,Legión de monos,21,8,0,9,0,7,0,9,0,3,3,8,0,Lobby 2,Semifinals,Split_1
12.0,Ragnarok Team,20,11,0,6,3,11,3,5,1,10,0,10,0,Lobby 2,Semifinals,Split_1
13.0,No Regrets,19,13,0,11,0,9,0,13,0,2,1,6,1,Lobby 2,Semifinals,Split_1
14.0,Mafia Legends,17,16,0,13,2,10,1,7,1,12,0,9,4,Lobby 2,Semifinals,Split_1
15.0,Nicolau Antonio,11,4,0,14,0,16,0,15,0,8,1,11,0,Lobby 2,Semifinals,Split_1
16.0,AsheTeam,9,7,3,10,0,14,0,16,0,0,0,0,0,Lobby 2,Semifinals,Split_1
1.0,AIE,92,1,15,5,6,9,3,3,13,12,4,1,13,Lobby 1,Finals,Split_1
2.0,GUG,46,4,8,6,5,8,2,16,0,4,1,2,6,Lobby 1,Finals,Split_1
3.0,CerditosMacabeos,45,20,0,19,1,5,8,17,2,1,15,12,2,Lobby 1,Finals,Split_1
4.0,BTH,43,11,3,3,8,4,8,14,3,18,0,4,2,Lobby 1,Finals,Split_1
5.0,Mystical,40,13,2,1,12,12,4,15,2,19,0,11,4,Lobby 1,Finals,Split_1
6.0,SST,39,7,0,8,3,1,14,18,3,11,0,16,1,Lobby 1,Finals,Split_1
7.0,FourG Team,39,3,2,9,0,17,1,2,3,3,4,6,1,Lobby 1,Finals,Split_1
