Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
6.0,North,37,3,1,15,1,12,1,9,5,Lobby 1,Finals,7.0,11.0,7.0,1.0
7.0,AE,37,1,6,12,1,4,6,20,0,Lobby 1,Finals,8.0,4.0,20.0,0.0
8.0,RDM,35,12,0,7,1,5,8,13,6,Lobby 1,Finals,16.0,4.0,11.0,6.0
9.0,AST,33,9,4,13,0,14,0,1,6,Lobby 1,Finals,18.0,1.0,12.0,5.0
10.0,MM,30,16,2,10,0,18,0,10,2,Lobby 1,Finals,9.0,6.0,3.0,7.0
11.0,CCE UCX,29,5,3,18,0,11,4,2,2,Lobby 1,Finals,12.0,3.0,8.0,0.0
12.0,ING,26,4,11,20,0,16,4,17,0,Lobby 1,Finals,13.0,0.0,4.0,0.0
13.0,ZLB,26,15,0,6,7,13,1,7,3,Lobby 1,Finals,5.0,2.0,15.0,0.0
14.0,SDO,26,10,1,3,5,19,0,4,3,Lobby 1,Finals,10.0,1.0,16.0,0.0
15.0,GSG,24,11,3,4,3,8,0,5,4,Lobby 1,Finals,20.0,0.0,10.0,0.0
16.0,EQ,23,14,5,14,0,7,2,12,3,Lobby 1,Finals,14.0,0.0,9.0,4.0
17.0,UNDOGS,21,6,0,17,2,6,3,6,4,Lobby 1,Finals,11.0,0.0,19.0,2.0
18.0,TPM,9,17,0,11,1,20,0,11,4,Lobby 1,Finals,17.0,0.0,18.0,2.0
19.0,iRL,9,19,0,5,0,15,2,19,0,Lobby 1,Finals,15.0,0.0,17.0,1.0
20.0,RT,6,20,0,19,0,9,1,16,0,Lobby 1,Finals,19.0,0.0,13.0,2.0
