Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
11.0,GOD OF DREAM,19,10,0,2,4,19,2,16,2,Lobby 2,Quarterfinals,,,,,Split_2
12.0,LNW,19,0,0,17,0,1,7,17,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,MWB,18,5,6,11,3,12,2,14,0,Lobby 2,Quarterfinals,,,,,Split_2
14.0,AIC WIBU,16,6,0,19,0,6,2,4,3,Lobby 2,Quarterfinals,,,,,Split_2
15.0,HEIR,15,4,4,15,0,8,1,10,0,Lobby 2,Quarterfinals,,,,,Split_2
16.0,MEIDO,13,11,0,14,1,7,6,15,0,Lobby 2,Quarterfinals,,,,,Split_2
17.0,HP,11,13,0,6,1,11,1,9,2,Lobby 2,Quarterfinals,,,,,Split_2
18.0,heLL,5,15,0,0,0,14,3,19,0,Lobby 2,Quarterfinals,,,,,Split_2
19.0,VRG,5,9,0,10,0,13,0,18,0,Lobby 2,Quarterfinals,,,,,Split_2
20.0,Unknown,3,14,0,16,0,10,0,20,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,DNZY,79,1,19,3,11,7,9,4,13,Lobby 3,Quarterfinals,,,,,Split_2
2.0,iON-H,50,3,3,7,0,3,9,1,9,Lobby 3,Quarterfinals,,,,,Split_2
3.0,YTS,49,9,0,4,8,2,8,3,10,Lobby 3,Quarterfinals,,,,,Split_2
4.0,LIGJR,44,2,5,1,8,6,1,6,3,Lobby 3,Quarterfinals,,,,,Split_2
5.0,姐妹花,37,5,7,6,3,1,8,16,0,Lobby 3,Quarterfinals,,,,,Split_2
6.0,SOT,26,8,1,2,6,4,1,15,1,Lobby 3,Quarterfinals,,,,,Split_2
7.0,Soosmar slayer,21,4,3,16,0,10,1,2,1,Lobby 3,Quarterfinals,,,,,Split_2
8.0,ZeroTwo,20,7,6,14,0,5,5,14,0,Lobby 3,Quarterfinals,,,,,Split_2
9.0,RYU,19,14,2,11,2,15,3,5,5,Lobby 3,Quarterfinals,,,,,Split_2
10.0,RZ,14,6,2,13,4,17,0,9,2,Lobby 3,Quarterfinals,,,,,Split_2
11.0,Behr,13,10,0,8,2,8,1,10,2,Lobby 3,Quarterfinals,,,,,Split_2
12.0,HKUF,10,13,0,9,5,16,0,8,0,Lobby 3,Quarterfinals,,,,,Split_2
13.0,INEL,8,15,0,10,1,12,0,7,0,Lobby 3,Quarterfinals,,,,,Split_2
14.0,tasi,6,17,0,12,0,11,0,12,3,Lobby 3,Quarterfinals,,,,,Split_2
15.0,SAE,6,16,0,5,0,13,0,11,0,Lobby 3,Quarterfinals,,,,,Split_2
16.0,DX,5,11,0,17,0,9,1,13,0,Lobby 3,Quarterfinals,,,,,Split_2
17.0,X SPLITS,3,12,0,15,0,14,0,17,0,Lobby 3,Quarterfinals,,,,,Split_2
18.0,CR4KD,0,0,0,0,0,0,0,0,0,Lobby 3,Quarterfinals,,,,,Split_2
19.0,SXT,0,0,0,0,0,0,0,0,0,Lobby 3,Quarterfinals,,,,,Split_2
1.0,DRG,58,2,4,1,6,5,4,1,7,Lobby 4,Quarterfinals,,,,,Split_2
2.0,Horizon,52,5,1,3,18,15,3,9,16,Lobby 4,Quarterfinals,,,,,Split_2
3.0,JKs,48,19,0,10,3,1,19,4,7,Lobby 4,Quarterfinals,,,,,Split_2
4.0,MDYB,45,8,3,4,6,12,14,5,10,Lobby 4,Quarterfinals,,,,,Split_2
5.0,ASC,40,1,11,15,0,4,7,11,3,Lobby 4,Quarterfinals,,,,,Split_2
