,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6
,#,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1
149,30.,NEAN▼2,NEAN▼2,5,1,0,3,1,-,-,,,,,,
150,31.,BP▲4,BP▲4,4,0,1,1,2,-,-,,,,,,
151,32.,LMX▼2,LMX▼2,4,2,1,0,1,-,-,,,,,,
152,33.,BAD▲7,BAD▲7,3,0,0,0,3,-,-,,,,,,
153,34.,CLX▼4,CLX▼4,3,0,0,3,0,-,-,,,,,,
154,35.,ERA▼2,ERA▼2,2,2,0,0,0,-,-,,,,,,
155,36.,RT▲1,RT▲1,1,0,1,0,0,-,-,,,,,,
156,37.,CLG▲1,CLG▲1,1,0,0,1,0,-,-,,,,,,
157,37.,MOAN▲1,MOAN▲1,1,1,0,0,0,-,-,,,,,,
158,DQ.,SHEESH▼24,SHEESH▼24,8,7,0,1,0,-,-,,,,,,
159,DQ.,BW▼10,BW▼10,3,1,2,0,0,-,-,,,,,,
160,1.,ESA,ESA,39,9,9,7,12,2,-,,,,,,
161,2.,NRG▲1,NRG▲1,38,1,9,12,7,9,-,,,,,,
162,3.,SEN▼1,SEN▼1,38,12,1,9,12,4,-,,,,,,
163,4.,G2▲3,G2▲3,32,2,2,9,7,12,-,,,,,,
164,5.,SSG,SSG,28,12,7,5,1,3,-,,,,,,
165,6.,COL▼2,COL▼2,28,3,2,12,9,2,-,,,,,,
166,7.,TSM▼1,TSM▼1,26,4,5,5,9,3,-,,,,,,
167,8.,C9,C9,21,5,12,0,2,2,-,,,,,,
168,9.,XSET,XSET,19,1,12,1,3,2,-,,,,,,
169,10.,PK▲11,PK▲11,19,2,2,2,1,12,-,,,,,,
170,11.,RNG▼1,RNG▼1,16,5,7,1,2,1,-,,,,,,
171,12.,OXG▲9,OXG▲9,16,1,0,3,3,9,-,,,,,,
172,13.,PGG▲1,PGG▲1,15,3,1,2,4,5,-,,,,,,
173,14.,NBL▼3,NBL▼3,15,9,2,2,1,1,-,,,,,,
174,15.,TOR▲4,TOR▲4,14,0,1,1,5,7,-,,,,,,
175,16.,LZR▲5,LZR▲5,14,4,0,2,1,7,-,,,,,,
176,17.,100T▼2,100T▼2,13,1,4,0,5,3,-,,,,,,
177,17.,TL,TL,13,2,3,0,4,4,-,,,,,,
178,19.,DY▼7,DY▼7,12,1,2,7,1,1,-,,,,,,
179,20.,FUR▲5,FUR▲5,11,0,3,1,2,5,-,,,,,,
180,21.,SXG▼9,SXG▼9,11,7,3,1,0,0,-,,,,,,
181,22.,GHOST▼3,GHOST▼3,10,1,0,4,2,3,-,,,,,,
182,23.,AM▼5,AM▼5,10,1,4,2,1,2,-,,,,,,
183,24.,BBG▼8,BBG▼8,9,0,5,4,0,0,-,,,,,,
184,25.,CLT▼4,CLT▼4,8,3,3,0,1,1,-,,,,,,
185,26.,SNRS▼1,SNRS▼1,7,2,1,1,2,1,-,,,,,,
186,27.,EST▲1,EST▲1,6,0,1,1,3,1,-,,,,,,
187,27.,UNL▲1,UNL▲1,6,0,1,3,1,1,-,,,,,,
188,29.,E8▼4,E8▼4,6,3,1,2,0,0,-,,,,,,
189,30.,LMX▲2,LMX▲2,6,2,1,0,1,2,-,,,,,,
190,30.,NEAN,NEAN,6,1,0,3,1,1,-,,,,,,
191,32.,BP▼1,BP▼1,4,0,1,1,2,0,-,,,,,,
192,33.,BAD,BAD,3,0,0,0,3,0,-,,,,,,
193,34.,CLX,CLX,3,0,0,3,0,0,-,,,,,,
194,35.,ERA,ERA,2,2,0,0,0,0,-,,,,,,
195,36.,RT,RT,2,0,1,0,0,1,-,,,,,,
196,37.,MOAN,MOAN,2,1,0,0,0,1,-,,,,,,
197,38.,CLG▼1,CLG▼1,1,0,0,1,0,0,-,,,,,,
198,DQ.,SHEESH,SHEESH,8,7,0,1,0,0,-,,,,,,
199,DQ.,BW,BW,3,1,2,0,0,0,-,,,,,,
200,1.,NRG▲1,NRG▲1,47,1,9,12,7,9,9,,,,,,
201,2.,SEN▲1,SEN▲1,47,12,1,9,12,4,9,,,,,,
202,3.,ESA▼2,ESA▼2,40,9,9,7,12,2,1,,,,,,
203,4.,G2,G2,36,2,2,9,7,12,4,,,,,,
204,5.,TSM▲2,TSM▲2,33,4,5,5,9,3,7,,,,,,
205,6.,SSG▼1,SSG▼1,30,12,7,5,1,3,2,,,,,,
206,7.,COL▼1,COL▼1,30,3,2,12,9,2,2,,,,,,
207,8.,100T▲9,100T▲9,25,1,4,0,5,3,12,,,,,,
208,9.,C9▼1,C9▼1,24,5,12,0,2,2,3,,,,,,
209,10.,DY▲9,DY▲9,24,1,2,7,1,1,12,,,,,,
210,11.,XSET▼2,XSET▼2,21,1,12,1,3,2,2,,,,,,
211,12.,PK▼2,PK▼2,21,2,2,2,1,12,2,,,,,,
212,13.,RNG▼2,RNG▼2,18,5,7,1,2,1,2,,,,,,
213,14.,PGG▼1,PGG▼1,18,3,1,2,4,5,3,,,,,,
214,15.,FUR▲5,FUR▲5,18,0,3,1,2,5,7,,,,,,
215,16.,OXG▼4,OXG▼4,18,1,0,3,3,9,2,,,,,,
216,17.,TL,TL,16,2,3,0,4,4,3,,,,,,
217,18.,TOR▼3,TOR▼3,15,0,1,1,5,7,1,,,,,,
218,19.,NBL▼5,NBL▼5,15,9,2,2,1,1,0,,,,,,
219,20.,LZR▼4,LZR▼4,14,4,0,2,1,7,0,,,,,,
220,21.,UNL▲6,UNL▲6,11,0,1,3,1,1,5,,,,,,
221,22.,GHOST,GHOST,11,1,0,4,2,3,1,,,,,,
222,23.,SXG▼2,SXG▼2,11,7,3,1,0,0,0,,,,,,
223,24.,BBG,BBG,10,0,5,4,0,0,1,,,,,,
224,25.,AM▼2,AM▼2,10,1,4,2,1,2,0,,,,,,
225,26.,CLT▼1,CLT▼1,9,3,3,0,1,1,1,,,,,,
226,27.,BP▲5,BP▲5,8,0,1,1,2,0,4,,,,,,
227,28.,CLX▲6,CLX▲6,8,0,0,3,0,0,5,,,,,,
228,29.,EST▼2,EST▼2,7,0,1,1,3,1,1,,,,,,
229,30.,SNRS▼4,SNRS▼4,7,2,1,1,2,1,0,,,,,,
230,31.,LMX▼1,LMX▼1,7,2,1,0,1,2,1,,,,,,
231,32.,E8▼3,E8▼3,6,3,1,2,0,0,0,,,,,,
232,33.,NEAN▼3,NEAN▼3,6,1,0,3,1,1,0,,,,,,
233,34.,BAD▼1,BAD▼1,4,0,0,0,3,0,1,,,,,,
234,35.,CLG▲3,CLG▲3,4,0,0,1,0,0,3,,,,,,
235,36.,ERA▼1,ERA▼1,3,2,0,0,0,0,1,,,,,,
236,37.,RT▼1,RT▼1,3,0,1,0,0,1,1,,,,,,
237,38.,MOAN▼1,MOAN▼1,2,1,0,0,0,1,0,,,,,,
238,DQ.,SHEESH,SHEESH,8,7,0,1,0,0,0,,,,,,
239,DQ.,BW,BW,3,1,2,0,0,0,0,,,,,,
